t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00205609390479742,61.1511317695859,60.0929790940334
4.5,0.00345256887013099,NaN,119.471008651212
6,NaN,101.374717949345,NaN
9,NaN,NaN,165.25013908099
9.5,1.35909990079156,NaN,NaN
10,NaN,188.590521784082,NaN
15,42.9261566164602,NaN,600.158579645825
20,150.284761651166,1313.58216797584,1870.61370476618
25,218.498481448097,4794.06532929212,3379.44287111179
35,69.8148509336341,3692.09527919243,2917.8634937519
45,18.0139964874809,1083.86768916518,1292.77056970274
55,3.96487425714267,NaN,NaN
60,NaN,309.353740495032,NaN
