t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00243509266209388,59.7279950319227,74.5222077869443
3,NaN,51.3367639206674,NaN
3.5,NaN,NaN,55.1617767918187
6,NaN,170.890134100126,NaN
6.5,0.485044235976035,NaN,NaN
7,NaN,NaN,349.288829120343
9,NaN,640.491451757515,NaN
10,NaN,1040.40846860946,671.799967497376
15,210.776877051215,2948.63336792537,3971.68928092639
20,446.861007746903,3860.97958252636,3076.13578222411
25,451.009293031964,8458.16376854556,11437.2959690784
30,NaN,8731.28789426538,13311.8750627923
35,164.30306828172,NaN,4348.43494507628
40,NaN,2198.40193757039,2896.59726911634
45,33.94332940468,2878.9636692029,NaN
50,NaN,NaN,932.185496273946
55,12.2067472204407,NaN,NaN
60,NaN,295.31873634104,421.51960083458
65,1.46493030377376,NaN,NaN
70,NaN,NaN,110.312009087818
80,0.0421581296330729,NaN,NaN
100,0.000433358811299753,NaN,NaN
150,1.02178577157308e-05,NaN,NaN
