t,input_il6,nSOCS3RNA5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
10,5,0.0100034248016899,29.1140667675896,85.3056878366656,54.5590162509995,66.4742765742733,56.0056339618893,29.913024378359
10,5,0.017853336406231,41.4348344603964,73.1359151233027,44.4374738774701,45.4009789741916,49.1912285388384,40.4810934495843
10,5,0.0185603091641758,52.1392740671337,77.5321350947894,38.097190138853,70.1942036888424,66.3582614022796,36.0745499942872
10,5,0.02559303926861,54.3739487730723,126.036968492716,46.7794139173688,56.0667442033373,73.9656835887221,37.1956854895118
10,20,0.302211922137112,78.8397874186262,249.689999684329,152.009946251003,73.817132529741,86.6869600807398,84.3332560089526
10,20,0.366775602232279,70.5025962086389,174.660952225673,137.472259642834,90.2651346299563,119.503303536378,64.5509576418642
10,20,0.598643579800109,105.479495911996,251.172565726866,122.406611247254,51.2533551235636,138.682046529671,97.4704855929648
10,20,0.697512835627081,80.0875241402556,246.009492316156,122.086464012239,119.082494958386,50.0479504485255,75.8943394611391
10,40,2.10462233002545,146.881093468131,303.624352677372,494.462559020661,198.50021214776,222.035279742573,131.061928593614
10,40,2.33087446552911,108.357434546244,611.13189416374,436.878317362352,163.18601761039,229.7408400963,193.199177095553
10,40,2.52013331766374,170.818496112904,373.996504297547,881.244229828993,580.208646199341,125.063135416347,84.3949411961504
10,40,3.9142208004657,287.504885680049,364.728672368748,390.740783144807,317.718491263588,363.23857376998,168.506236140768
10,90,11.0833297995113,522.882475733668,1324.24410296122,1027.05541358985,690.167709258484,487.028964620664,445.390650554052
10,90,15.0347738752417,345.070019282929,918.84728375713,1239.01877626586,686.604022166137,840.631312431833,544.756100492306
10,90,20.7106862006709,472.729791598,1083.1696775293,1181.49627425884,1040.11874033294,554.335442329343,346.694113401654
10,90,21.8724757959499,475.523393599591,731.279255982962,1186.8669925294,1884.94325758974,1258.16424970071,582.755221031393
