t,nSOCS3RNA5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.00193568878540677,52.322325663832,36.1153992399738
3.5,0.00224259120394212,NaN,NaN
5.5,NaN,98.7460731984191,NaN
6.5,NaN,NaN,80.5593702698941
7,0.0666045994154937,NaN,NaN
10,2.03831985116901,154.029146501042,NaN
15,37.0160254572118,325.092518094485,315.721489700417
20,89.9607132358945,NaN,773.624978812096
25,124.571010394939,1460.80735784477,2879.31262062851
30,65.1076113324902,3681.11992776757,NaN
35,49.592564007931,NaN,2326.50729699258
40,NaN,1114.37838856,NaN
45,8.84938845606038,857.587531292556,1000.16231266177
50,4.42630647870722,NaN,NaN
55,NaN,327.405249198597,242.840028469882
65,0.309930954567659,242.139528525214,201.459389825831
75,NaN,NaN,54.2572149273088
80,NaN,67.3970910721653,NaN
90,NaN,NaN,20.861387466068
95,NaN,76.5553518860334,NaN
100,NaN,33.7472655804398,53.6704955221384
150,NaN,37.1815650650438,102.959414569765
