t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,0.0359889110142614,0.0724698443735527,0.0417866762760381,0.0727222885634159,0.0382065695933176,0.554198989222827,0.184781960078283,0.849868891477556
3,NaN,NaN,NaN,0.0780485711404703,NaN,NaN,0.112834497896089,NaN
3.5,NaN,NaN,NaN,NaN,0.0478821531656731,NaN,NaN,NaN
4,NaN,NaN,0.03931390238897,NaN,NaN,0.836378191064801,NaN,0.316058264820673
4.5,0.0374077536008454,0.0928514622691862,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,0.0595708323819627,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,0.110248241097156,NaN
7,NaN,NaN,NaN,NaN,0.0315040969340803,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,0.338486303710272,NaN,0.565663402481348
8.5,NaN,0.0796760933096276,0.0271027461036044,NaN,NaN,NaN,NaN,NaN
9,0.014125046938842,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,0.106363342599967,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,0.0481689963759203,0.986955208445055,0.220086550199319,0.99621197641322
15,0.022214113098828,0.045034292330463,0.0441602198237674,0.0872902675398551,0.0471762041446438,1.06798698597313,0.0957391085678739,0.754596357269184
20,0.0204866863358169,0.0888012007416578,0.0485143480973692,0.118571669015364,0.0462199117889933,NaN,0.127112470476661,NaN
25,0.0194032934450639,0.0974605153890245,0.0494966840495365,0.0874283424837476,0.0405716200161154,0.57215475952278,0.130842390670047,1.15404367666658
30,0.0222876650017724,0.0749223412745735,0.0298969665038104,NaN,0.0388039878031955,0.778504014260653,0.115524906349384,0.72289102705254
35,NaN,NaN,NaN,0.107974624987954,0.0285554037906596,NaN,0.080534860115878,NaN
40,0.0208471690329466,0.0490527181859854,0.031395014205488,0.109993782774003,NaN,0.617959371298802,0.0691555934605612,0.884827215840138
45,NaN,NaN,NaN,NaN,0.0191862612666438,NaN,NaN,NaN
50,0.0269859715042318,0.0788994939939341,0.0367386509100467,0.0736410206679166,0.0391524753939435,0.802216457894012,0.131125829704113,0.560908570480779
60,0.0181521367414672,0.0664140318349314,0.0386738300318116,0.0878827942382708,0.020813409415325,0.910314334862968,0.0902692275810019,0.964323140930717
