t,Z_state_Obs,Y_state_Obs,Compound_1_Obs
0,0.132366759843781,1.03381805779071,2.04170393911295
0.3,NaN,NaN,2.65637729592071
0.35,0.373769328805491,1.86832676603012,NaN
0.6,NaN,NaN,3.69027626672668
0.7,0.519556853112055,2.0357593178103,NaN
0.9,NaN,NaN,2.70010523030606
1,0.649703066001743,2.72202606251185,3.70276615647789
1.5,0.619811431122035,3.41800474106624,4.33642370287977
2,0.667146037150809,3.51494487249218,3.5324028034859
2.5,0.710928930098818,3.35382661111693,4.19584626336124
3,0.697059879572839,3.2639575467952,4.21857230146267
3.5,NaN,3.78960044495562,4.2827006369959
4.5,NaN,3.21064782926696,4.91145288669646
5,NaN,NaN,4.80944449887414
5.5,NaN,3.15726265483963,NaN
6.5,NaN,3.5513325664736,NaN
