t,nucpApA_Obs,nucpApB_Obs
0,3.80906475439977,0.916389642120468
20,168.584274128861,NaN
30,NaN,44.6296012212381
35,155.477472796965,NaN
55,152.375370661063,NaN
65,NaN,84.0382221657723
75,160.453392221081,NaN
95,153.824628451539,92.192792876553
100,144.978381165111,NaN
150,142.394961791666,92.3317129501169
200,130.055542353266,98.4810231318961
250,124.537171765871,NaN
300,108.214827874814,117.344863764117
350,89.3855715308448,119.15403131586
400,85.3423260078604,NaN
450,NaN,123.133288260248
500,71.5884015884181,NaN
550,NaN,118.898320944018
650,NaN,120.096799186638
