t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.184137064287032,42.345664736421,0.7200840691317
9,NaN,14.5961786230067,23.4559211217819
20,NaN,14.4250364924341,25.592982013265
25,0.0724839278050583,NaN,NaN
30,NaN,26.1212417948244,13.2134732823841
40,NaN,45.7737375854456,2.97293345248668
50,0.0201420063758734,NaN,NaN
55,NaN,38.0575463668258,0.426376186807916
65,NaN,NaN,0.270096283181915
70,NaN,45.3996001805018,NaN
75,0.0286953770373373,NaN,NaN
85,NaN,45.8862872616081,0.210789302960506
100,0.0562712859932266,39.1292174129056,0.230394643471443
150,0.0940260926128044,38.0787393871968,0.45918590578409
200,0.130608680960726,NaN,NaN
250,0.150644989806515,NaN,NaN
300,0.137523043261142,NaN,NaN
350,0.181444737892623,NaN,NaN
450,0.166812510451272,NaN,NaN
