t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA5_Obs,SOCS3_Obs
0,0.204823616206263,46.249004601638,0.806085496655829,0.0025679414200136,0.0280158553319689
8.5,NaN,NaN,4.3748240357898,NaN,NaN
9,0.204125662434055,NaN,NaN,NaN,NaN
10,NaN,38.5941036829479,NaN,0.00354968694886335,NaN
15,NaN,NaN,NaN,NaN,0.0403466111873397
20,0.18020426812935,37.1247257448512,8.25818720749301,NaN,NaN
25,NaN,NaN,7.71359226333975,0.0471862942934783,0.308100729330349
30,0.164893938761409,32.3292118379685,NaN,NaN,NaN
35,NaN,NaN,6.97801858409347,NaN,NaN
40,0.134168190875948,NaN,NaN,0.0861185781923667,0.909770206212283
45,NaN,33.6486432813508,NaN,NaN,NaN
50,0.141041559349979,NaN,5.76031167690034,NaN,NaN
55,NaN,35.4605952999272,NaN,0.0775403735566505,0.844892715642745
60,NaN,NaN,4.91669161731315,NaN,NaN
65,0.0982624736010894,NaN,NaN,NaN,NaN
70,NaN,37.963046337925,NaN,0.0408602191359417,0.602500039447879
75,0.0803921936437307,NaN,4.2040859134122,NaN,NaN
85,NaN,40.3193714754389,NaN,NaN,NaN
90,NaN,NaN,NaN,0.041534073846296,0.443103165058349
95,0.0863610141505384,NaN,5.12470063148612,NaN,NaN
100,0.07503884909204,39.3892489594828,4.56300256609041,0.0349557570070751,0.413069948594967
150,0.0782620818686858,35.8072816259318,4.51335886894244,0.0394558314959445,0.423939672412454
200,NaN,36.158660656892,NaN,0.0371315979208443,0.377118008725032
250,NaN,NaN,NaN,NaN,0.411490618114184
