t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.242498249748955,40.4181116902192,0.814922941492561
15,NaN,14.3765431238247,24.1583100573626
20,0.142024238400868,NaN,NaN
25,NaN,25.7206414145763,NaN
35,NaN,NaN,9.3277234845354
40,NaN,33.8926617934349,NaN
45,0.0224663087138463,NaN,NaN
50,NaN,NaN,3.31171215377358
55,NaN,36.1907545339959,NaN
65,0.0217850099473776,NaN,NaN
70,NaN,35.3023261495238,5.43135203106402
85,NaN,30.6794817143751,NaN
90,0.0283008525708315,NaN,NaN
95,NaN,NaN,7.81571087360839
100,0.0304066796794512,31.2925088682798,9.28357882834246
150,0.0442651407146185,36.9066907479467,1.14675412542396
200,0.0715827206620318,42.4825814827901,0.331697741997768
250,0.122451306304076,46.8772049996936,0.495241207063633
300,0.122411148944574,40.039013176169,0.634312682838194
350,0.137533654216866,NaN,0.660509519574725
450,0.168256736473629,NaN,NaN
