t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.179673019822946,46.3189399116924,0.800615089728155
9.5,NaN,12.3613845229207,23.9959875253019
20,NaN,17.7505092822727,18.1427553223389
25,0.0971501142179298,NaN,NaN
30,NaN,37.2030838670747,6.51321494588558
40,NaN,39.9252194452288,NaN
45,0.0212053479732317,NaN,0.79183744184102
55,NaN,41.6204926950131,0.35154131365753
75,0.035011596171519,38.6029236894259,0.224681306401177
95,NaN,38.0344916321371,0.19388627023314
100,0.0650225347482739,43.0725708977342,0.268516093330381
150,0.101433647977383,NaN,NaN
200,0.112183375579255,NaN,NaN
250,0.135505026537075,NaN,NaN
300,0.157481993679706,NaN,NaN
350,0.170026095442645,NaN,NaN
450,0.183433346162596,NaN,NaN
