t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.190936579010587,33.851642689246,0.898674289858664
7,NaN,13.6823782906763,NaN
9.5,NaN,NaN,30.1341379662566
15,NaN,13.5272314509542,NaN
20,NaN,22.7366152320556,17.9261967824775
25,0.0897612466048502,NaN,NaN
30,NaN,37.418504185238,4.41033033927094
40,NaN,43.2907135148659,NaN
45,NaN,NaN,0.683509088350493
50,NaN,48.2496810370266,NaN
55,0.0274325020775757,NaN,0.271097865757334
65,NaN,44.6374701802118,NaN
75,NaN,NaN,0.190403264240899
80,NaN,43.5787920584644,NaN
85,0.0510333463423668,NaN,NaN
95,NaN,44.2171163836926,0.22205358614227
100,0.0771758606732628,NaN,0.237021093862639
150,0.113231233018393,NaN,NaN
200,0.131647208726255,NaN,NaN
250,0.12649762455771,NaN,NaN
300,0.156224113722721,NaN,NaN
350,0.158313635708174,NaN,NaN
450,0.183537329034613,NaN,NaN
