t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.210596038088981,37.6725671888731,0.790622465675032
9,NaN,13.7274455129115,NaN
9.5,NaN,NaN,27.3506502570553
15,0.10604402162728,NaN,NaN
20,NaN,12.8429112994431,26.1579144031295
30,0.0471518084546185,25.6630645534745,12.7665244726152
40,NaN,38.543056178087,5.80830310717153
45,0.00578108367605568,NaN,NaN
55,NaN,37.6968370316375,2.90156660772836
65,0.0029434148188329,NaN,NaN
70,NaN,37.1136494057441,3.12648737775094
85,0.00249727315184166,40.7227265663945,NaN
90,NaN,NaN,2.8866443231302
100,0.00243109691923213,37.9227750939974,2.95098989103115
150,0.00158840766182303,39.0632490009491,2.14199770547446
200,0.00107577263058736,NaN,NaN
