t,input_il6,SOCS3RNA_Obs
1900,0.1,2.33896146077403e-05
1900,0.1,2.50778002148564e-05
1900,0.5,8.434008726624e-05
1900,0.5,7.17542440725857e-05
1900,1,0.000138835502304972
1900,1,0.000153698606037683
1900,2.5,0.00101721754871481
1900,2.5,0.00079581392700072
1900,5,0.003298039369982
1900,5,0.00310797161422374
1900,10,0.000324995259155206
1900,10,0.000330806654686703
1900,25,0.00152943376402221
1900,25,0.00170462739649269
1900,50,0.000516822118048103
1900,50,0.000506234253794963
1900,100,0.0020416526955016
1900,100,0.002207252809868
1900,500,0.00389519588396199
1900,500,0.00418894551465449
