t,input_il6,nSOCS3RNA5_Obs
300,0.1,0.000365491286483527
300,0.1,0.000348881032514847
300,0.5,0.000939928628502837
300,0.5,0.000861319341446682
300,1,0.00194086183194311
300,1,0.00188824482633585
300,2.5,0.0196258131817333
300,2.5,0.0178392495032989
300,5,0.0656969099596271
300,5,0.069585885389577
300,10,0.00524653917435817
300,10,0.00464629814475947
300,25,0.0326311131474138
300,25,0.0351407479393934
300,50,0.0115380422532826
300,50,0.00925755851090672
300,100,0.0480626730608038
300,100,0.0470884023864413
300,500,0.113904655248451
300,500,0.105135444072304
