t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.189921278062709,40.7488801241131,0.817551188579353
9.5,NaN,14.810188219145,27.0741881691834
10,0.129058292087062,NaN,NaN
20,0.099890477572189,10.9098687653072,28.000552026524
30,0.0913841247079746,9.54836679989164,31.1362361062124
40,NaN,12.7280818031573,22.2701852186229
45,0.0844621585143643,NaN,NaN
55,0.0332260386686463,29.1565778392868,10.4913434733212
70,0.0133818444298684,42.2885482546441,2.95468280306569
85,0.0141179937976822,33.1751429023098,4.74217244071872
100,0.0252844019774795,35.2183567662922,11.0321415378943
150,0.0212428405076003,31.8083984877389,8.66836205415481
200,0.0246121899966462,NaN,NaN
