t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,nSOCS3RNA5_Obs,SOCS3_Obs
0,0.174980581354976,0.000508888031866584,44.9152764017012,1.00842587732357,0.00355076022767894,0.00241273139631369,0.00342707998314552,0.00282773467125272,0.0224245919346536
7,NaN,NaN,30.5974137682209,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,15.0848905318541,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0298707082928742
10,0.162376950777502,0.0245026514869414,NaN,NaN,0.149256866859746,0.093934257480609,NaN,NaN,NaN
15,NaN,NaN,14.4846243847891,21.0077128671371,NaN,NaN,0.15377498216694,0.0765275796563379,NaN
20,NaN,NaN,NaN,NaN,0.4636326939078,0.335760630902197,NaN,NaN,1.07039155504666
25,0.103258022792444,0.0361658218158703,24.8931622484592,15.7171649826212,NaN,NaN,NaN,0.368651445993352,2.23844813067383
30,NaN,NaN,22.6077726860476,13.0626572647086,NaN,NaN,0.453850549992607,NaN,NaN
35,0.0529155410317804,NaN,NaN,NaN,0.253118138567671,0.29524121622202,NaN,NaN,NaN
40,NaN,0.0104560152930649,33.6170168007122,7.14884563369465,NaN,NaN,NaN,0.362686162080502,3.92799658829671
45,NaN,NaN,NaN,NaN,0.0949335104503333,NaN,0.203267560251737,NaN,NaN
50,0.0266667412571975,NaN,38.5178351781971,3.76839753771376,NaN,0.0795091570818417,NaN,NaN,2.44662471083578
55,NaN,0.00479604537429296,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,0.0344823240394504,NaN,NaN,0.0569976371927291,NaN
65,0.020658646858697,NaN,36.0662244454982,4.8353223393421,NaN,0.0326727852105737,0.037474740576835,NaN,0.880050673907189
75,NaN,0.00588096299449708,NaN,7.03563714214946,0.0580450814504433,NaN,NaN,NaN,NaN
80,0.0338290333885458,NaN,32.1913814985834,NaN,NaN,NaN,NaN,0.0480851309612192,0.471045559748273
85,NaN,NaN,NaN,NaN,NaN,0.0808998836711106,NaN,NaN,NaN
90,NaN,NaN,NaN,8.85297112734108,NaN,NaN,0.0874790081002323,NaN,NaN
95,NaN,0.00827156066498545,NaN,NaN,0.116808593651681,NaN,NaN,NaN,0.90863951474014
100,0.0310423918572136,NaN,31.0453035818574,7.5734808498893,0.10666512045831,0.0938822802678525,0.107978809255165,0.0871733272497915,1.06448767135826
150,NaN,NaN,NaN,7.81927042933177,0.0947052165087641,NaN,NaN,NaN,1.05730332825981
