t,input_il6,pJAK1_pgp130_Obs
370,0.1,0.000599437545755774
370,0.1,0.000602075144685224
370,0.5,0.000973578342415326
370,0.5,0.00104548588068047
370,1,0.00154084541864071
370,1,0.00159795165139649
370,2.5,0.00214162528158979
370,2.5,0.00223936124262294
370,5,0.00326388515729674
370,5,0.00343444571356319
370,10,0.00436669641743398
370,10,0.00454895162227593
370,25,0.00619617821543442
370,25,0.00689764016338351
370,50,0.00732911343023544
370,50,0.00818341991293704
370,100,0.0104139155160609
370,100,0.0129752089638749
370,500,0.0139493680967107
370,500,0.0172494111346201
