t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA5_Obs,SOCS3_Obs
0,0.201899496197032,42.6602271068054,0.757674860737523,0.00272339949166792,0.0287591276371402
4.5,NaN,NaN,NaN,0.00191117349190306,NaN
6,NaN,NaN,NaN,NaN,0.0285257337511757
9,NaN,NaN,NaN,0.00206942286381477,NaN
10,NaN,NaN,NaN,NaN,0.023392502486763
15,NaN,NaN,NaN,0.00117094317892984,NaN
20,0.0955683984496775,8.89698331673107,29.6327280311663,0.000512129433417199,0.0145564713730105
25,NaN,NaN,NaN,0.00020807983093302,0.007123383892614
30,NaN,NaN,NaN,7.66703690679355e-05,0.00280091766724717
40,0.0741014015249311,11.7243692967412,27.0477047629717,7.61692365126489e-06,0.000518305890231954
45,NaN,NaN,NaN,2.61975769489573e-06,NaN
50,NaN,NaN,NaN,NaN,5.38731659707815e-05
55,NaN,10.3997378344751,NaN,2.01934401902404e-07,NaN
60,NaN,NaN,28.2405267079317,NaN,NaN
65,0.0749333799458999,NaN,NaN,NaN,1.73025950169841e-06
70,NaN,NaN,NaN,3.64732965792823e-09,NaN
80,NaN,11.3864385018547,NaN,2.10839034781558e-10,4.15867942813305e-08
85,NaN,NaN,27.1605856822615,NaN,NaN
90,0.0629622144219204,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,8.42165526927946e-10
100,0.0504122013212748,14.3779674596725,23.5494167559741,NaN,NaN
150,0.0393460240859031,14.3046873291564,25.2559793524964,NaN,NaN
200,0.0278401708175793,19.1709063828879,21.2256309992786,NaN,NaN
250,0.0290459929108443,21.9152865725055,16.5990648739852,NaN,NaN
300,0.0200934682288757,28.9573049815229,14.0448551811869,NaN,NaN
350,0.0124998181110531,27.7127811306167,10.9218507784511,NaN,NaN
450,0.00669673154477666,32.8787778634794,8.34569739891474,NaN,NaN
