t,pJAK1_gp130_Obs,STAT3_Obs,SOCS3RNA_Obs
0,3.84758840438063e-05,33.6058006693322,6.94847903041357e-05
9.5,NaN,5.56599958100861,NaN
10,NaN,NaN,0.00142017129967906
20,0.00619166084893408,15.5494301144211,NaN
25,NaN,NaN,0.018757327736109
30,NaN,27.9798829771706,NaN
35,NaN,NaN,0.0194261364196493
40,0.000966688161370186,35.2823733949603,NaN
50,NaN,NaN,0.00585868394351556
55,NaN,34.0820655412753,NaN
65,0.00184646321355628,NaN,0.00127010598627091
75,NaN,22.6550181376972,NaN
85,NaN,NaN,0.0057319750860316
90,0.00176270190726824,NaN,NaN
95,NaN,25.8501970151208,NaN
100,0.0018565578691992,34.219194497544,0.00740862123962704
150,0.00197676682401339,NaN,0.00429747709073118
