t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.16546857242262,44.096641231027,0.833317852491003
8.5,NaN,21.6368006862027,NaN
9.5,NaN,NaN,21.5051124328312
15,NaN,16.1601382870519,NaN
20,NaN,NaN,21.4897173804677
25,0.125181992824239,27.0667495440024,NaN
30,NaN,NaN,11.7184201015068
35,NaN,37.9829085174254,NaN
40,NaN,NaN,2.87720373030378
45,0.0353494594923363,NaN,NaN
50,NaN,39.1720609920249,NaN
55,NaN,NaN,0.681226815051884
60,NaN,42.6634702954045,NaN
70,0.0380472586451718,NaN,0.297557958338396
75,NaN,45.3339267719862,NaN
85,NaN,NaN,0.238021751611615
95,NaN,45.2855807732873,NaN
100,0.0581180408342294,36.9570127653895,0.219746710116162
150,0.0984267064257172,44.8909215680609,0.446504823472375
200,0.125234981220469,NaN,NaN
250,0.126555401518955,NaN,NaN
300,0.167104477557014,NaN,NaN
350,0.135298996437922,NaN,NaN
400,0.164884259621502,NaN,NaN
