t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.175664357059638,47.4576673952967,0.900913216684545
15,NaN,11.4407282153253,27.4172615566533
25,0.0629593595467498,NaN,18.2475570578979
30,NaN,26.6413867480123,NaN
40,NaN,NaN,5.33397000119406
45,0.0114564335200515,39.4038492900733,NaN
55,NaN,NaN,3.23581813034413
60,NaN,35.0607432507114,NaN
70,0.0194035301533892,NaN,NaN
75,NaN,28.3460669904517,8.01554787381853
95,NaN,34.3769283556751,11.1345098062933
100,0.0311269903538526,35.6032317359578,6.31969439005668
150,0.0639649223055525,39.5925942847572,0.329932252196235
200,0.0955084104299266,42.8315801374705,0.37141238639752
250,0.124651165107073,37.664899609968,0.471320797612088
300,0.163662041432738,41.5228278614557,NaN
350,0.157767343640577,NaN,NaN
450,0.155292869294286,NaN,NaN
