t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA5_Obs,SOCS3_Obs
0,0.179584183859169,43.8886587188772,0.854276977605739,0.00199839163419475,0.0295337882490052
6,NaN,28.9373006067393,4.63857958744864,NaN,NaN
7.5,0.169577489513587,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,0.00402997186916465,NaN
15,0.192865925761164,29.4974969346358,11.4329328205565,NaN,NaN
20,NaN,27.5586599376236,15.2915622666179,NaN,0.281643613749707
25,0.163436247323668,NaN,NaN,0.107780372314824,NaN
30,0.139895820064159,27.8853316927993,10.6082786939037,NaN,NaN
35,NaN,33.4819472458684,10.0577904453911,NaN,NaN
40,NaN,NaN,NaN,0.188171014247425,1.66483189307348
45,0.0963340706352059,NaN,NaN,NaN,NaN
50,NaN,35.7325794871759,5.5905937133228,NaN,NaN
55,0.0642467702154053,NaN,NaN,0.100705789522481,NaN
60,NaN,38.4557508138271,5.04770746365972,NaN,1.17769570258712
70,0.0560233262227462,NaN,NaN,0.0537983711673746,NaN
80,NaN,NaN,NaN,NaN,0.546005730477901
90,NaN,NaN,NaN,0.0408041399629409,NaN
100,NaN,NaN,NaN,0.0482460730486387,0.542254256787328
150,NaN,NaN,NaN,0.0529859779058734,0.653493882069738
200,NaN,NaN,NaN,0.0509365605638954,0.57311429787257
250,NaN,NaN,NaN,NaN,0.470562970248168
300,NaN,NaN,NaN,NaN,0.574446372016096
350,NaN,NaN,NaN,NaN,0.570149840058982
450,NaN,NaN,NaN,NaN,0.577767077222373
