t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.182657876732052,41.0790849884492,0.861063943491415
9.5,NaN,NaN,26.9942347426264
10,NaN,12.3663498277698,NaN
20,NaN,NaN,25.0261541272992
25,0.080413210368439,19.666830021409,NaN
30,NaN,NaN,10.1873612732767
35,NaN,39.9217704276954,NaN
40,NaN,NaN,2.12909901238776
50,0.0219006737571266,38.9707031106219,NaN
55,NaN,NaN,0.353270606971229
70,NaN,44.8333345662221,0.235957462188382
75,0.0308285302323314,NaN,NaN
90,NaN,45.2897522669898,0.236270160401284
100,0.0582306108862134,43.4164564576038,0.215731790579523
150,0.0885760537285512,42.3521468061585,NaN
200,0.134494797869525,NaN,NaN
250,0.151144555670863,NaN,NaN
300,0.135947429367454,NaN,NaN
350,0.160978195091983,NaN,NaN
450,0.1653519780175,NaN,NaN
