t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.166991200018468,42.8462106067685,0.993186658081244
10,NaN,18.8057113275667,20.4276425535517
20,NaN,16.6116604787774,19.5511569246064
25,0.108083003247037,NaN,NaN
30,NaN,NaN,11.1870405739869
35,NaN,33.1644134809152,NaN
45,NaN,41.6352277268553,1.39058279047061
50,0.0308004629563003,NaN,NaN
60,NaN,45.7760664250176,0.357111162763633
75,NaN,NaN,0.285426253110999
80,0.0499935287058046,43.7466232455167,NaN
95,NaN,NaN,0.224017440705828
100,0.0699434627387349,35.3884829797174,0.265086340741616
150,0.113543405216953,40.8653350317196,0.386527896031739
200,0.123538200234151,NaN,NaN
250,0.13850429851804,NaN,NaN
300,0.162227021716607,NaN,NaN
350,0.15771263945537,NaN,NaN
400,0.169423588677455,NaN,NaN
