t,input_il6,SOCS3RNA_Obs
100,0,5.21955555093208e-05
100,0,6.64953533222686e-05
100,0,7.0632619201601e-05
100,0,7.18373040221972e-05
100,0.0005,5.76223939280047e-05
100,0.0005,7.02775509180458e-05
100,0.0005,7.72631478444833e-05
100,0.0005,8.62557915581158e-05
100,0.005,7.03761260556074e-05
100,0.005,7.04475353651543e-05
100,0.005,7.1689250843282e-05
100,0.005,7.17542636128582e-05
100,0.005,7.36544868919599e-05
100,0.005,7.62278348018891e-05
100,0.005,7.81029825078762e-05
100,0.005,7.96940644812181e-05
100,0.05,8.11547579859471e-05
100,0.05,8.64687373629809e-05
100,0.1,0.000100718266074243
100,0.1,0.000105559399770928
100,0.1,0.000111836965745938
100,0.1,0.000113049444129548
100,0.1,0.000114858196811361
100,0.1,0.000121078139273821
100,0.5,0.000220265395314852
100,0.5,0.000261845538988324
100,0.5,0.000269132452932429
100,0.5,0.000271799333587764
100,0.5,0.000289871073973366
100,0.5,0.000329657682207931
100,1,0.000475461918560124
100,1,0.000508027425195996
100,1,0.000510616367824746
100,1,0.000579432983615483
100,2.5,0.000851805315160387
100,2.5,0.000853519989370655
100,2.5,0.000865752600245989
100,2.5,0.000895213941147226
100,2.5,0.00097752356355298
100,2.5,0.000999964124212893
100,5,0.00107509419107811
100,5,0.00118037544488059
100,5,0.00118927281728525
100,5,0.00123770183133811
100,5,0.00124342136162194
100,5,0.00127717156943196
100,5,0.0013131195626654
100,5,0.0013325490914144
100,10,0.001370151806286
100,10,0.00139536233084391
100,10,0.00146141495501587
100,10,0.00155918060745891
100,10,0.00158013770902889
100,10,0.00158802388772955
100,10,0.00159977169336141
100,10,0.00164813111092712
100,25,0.00211737378743524
100,25,0.00218048343211413
100,25,0.00220756288240696
100,25,0.00225397313282397
100,25,0.002353133186681
100,25,0.00237265574846891
100,25,0.00240099080851763
100,25,0.00241469296834522
100,50,0.00326555473543742
100,50,0.00327563080720822
100,50,0.00357956632236133
100,50,0.00369463053790882
100,100,0.00472911186745072
100,100,0.0052924092589907
100,200,0.00504327315155116
100,200,0.00541747337134783
100,200,0.00575868341298854
100,200,0.00603587251842429
100,200,0.00606231167744733
100,200,0.00630832358677394
100,500,0.0062912133540952
100,500,0.00644293135060008
100,500,0.00678879547229123
100,500,0.00692456359676103
