t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.198091107641967,48.5136051005562,0.78483128081438
9.5,NaN,14.4956034349094,23.1604293495357
20,NaN,16.0032452679826,22.0048384121039
25,0.103045103381852,NaN,NaN
30,NaN,35.404412593614,8.68324837463387
40,NaN,NaN,2.63632155146277
45,NaN,49.5456767191646,NaN
50,0.0199836165830317,NaN,NaN
55,NaN,NaN,0.509514779497006
60,NaN,39.2449296190837,NaN
70,NaN,NaN,0.235496573287428
75,0.0407307975114932,39.2314864729317,NaN
85,NaN,NaN,0.211584957455164
95,NaN,39.3769483356464,NaN
100,0.0574372575263976,40.367032205534,0.233721432233742
150,0.101308274223006,NaN,0.340812579721699
200,0.126660333887524,NaN,NaN
250,0.178801391558459,NaN,NaN
300,0.153612086930617,NaN,NaN
350,0.156457943094407,NaN,NaN
450,0.184523542555123,NaN,NaN
