t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.184525739879803,41.9344237845712,0.80523499609424
9,NaN,27.1658860703012,12.6513710992904
20,NaN,21.9403382578483,23.6613232057761
25,0.152970739747375,NaN,NaN
30,NaN,26.1600476269317,9.48556631961399
40,NaN,40.5682609862624,3.18900549976936
50,0.0564945523487066,NaN,NaN
55,NaN,40.6299895696233,0.705375133268454
70,NaN,44.1797094728112,0.439296493408679
75,0.0552775008380754,NaN,NaN
90,NaN,41.3406401291879,0.326263292708148
100,0.0771397875209826,45.9800570256081,0.328588304754126
150,0.122559000396461,NaN,NaN
200,0.138082491282604,NaN,NaN
250,0.163672460382142,NaN,NaN
300,0.141447760080654,NaN,NaN
350,0.160270950037088,NaN,NaN
450,0.194788718830126,NaN,NaN
