t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.170982536938961,42.3442267500567,0.926144861361789
8.5,NaN,21.734158302814,NaN
10,NaN,NaN,17.9009978796613
20,0.16459438492516,27.3802413533618,8.48984537442704
30,NaN,36.1849856671981,NaN
35,NaN,NaN,1.97462582776499
40,NaN,45.8610229339844,NaN
45,0.0845042642297809,NaN,0.847142976817626
50,NaN,36.9285975668078,NaN
60,NaN,NaN,0.628544231111783
65,NaN,46.2404437573537,NaN
70,0.0885040007468727,NaN,NaN
80,NaN,38.2253969140498,0.371929477834032
95,0.101007642031363,NaN,NaN
100,0.0887421884789784,45.5746164096405,0.504288512161003
150,0.120998229863034,NaN,0.491423612221779
200,0.113399224642556,NaN,NaN
250,0.154426542508559,NaN,NaN
300,0.157203095441726,NaN,NaN
350,0.18800737762023,NaN,NaN
400,0.170500456281446,NaN,NaN
