t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.191697385403988,37.1732984834342,0.819447723281059
8.5,NaN,27.1556661207508,NaN
9,NaN,NaN,18.2166831840472
15,NaN,21.4936886977491,NaN
20,0.152195526608662,NaN,18.9245850137407
25,NaN,26.1871682954693,NaN
30,NaN,NaN,12.8767567634204
35,NaN,36.8647000354036,NaN
40,NaN,NaN,7.59091192397252
45,0.0364123912447225,NaN,NaN
50,NaN,38.1098459479955,3.55027781748738
60,NaN,38.2871757130983,NaN
65,0.031004794680886,NaN,0.830155046471111
75,NaN,45.7607625275928,NaN
80,NaN,NaN,0.47819206660704
90,0.0522211330991382,NaN,NaN
95,NaN,44.2511143955224,NaN
100,0.0579547930729411,41.7920446434527,0.283589913900958
150,0.0915059574124765,42.8445919197766,0.405118937987562
200,0.130977816445049,NaN,NaN
250,0.118839088763864,NaN,NaN
300,0.139829641059009,NaN,NaN
350,0.158753649067943,NaN,NaN
450,0.167423912662394,NaN,NaN
