t,input_il6,nSOCS3RNA4_Obs
2100,0.1,0.00358812616208312
2100,0.1,0.00401135036011478
2100,0.5,0.00742990778169744
2100,0.5,0.0081527804780321
2100,1,0.0140809286486188
2100,1,0.0116141299247038
2100,2.5,0.0532376692726071
2100,2.5,0.0524744442747143
2100,5,0.129914058665857
2100,5,0.114444093562504
2100,10,0.0244117279265284
2100,10,0.0193130932033901
2100,25,0.0776010770477945
2100,25,0.0858591621463797
2100,50,0.0357981737456036
2100,50,0.0360464643828195
2100,100,0.100077614197844
2100,100,0.0952576230943442
2100,500,0.172157138428767
2100,500,0.163502605383415
