t,input_il6,STAT3_Obs
27,0.1,37.6594306871059
27,0.1,38.9679795997341
27,0.1,40.1939868709649
27,0.1,42.1704412914717
27,1,35.347167037126
27,1,38.247474939515
27,1,38.6084111568417
27,1,39.708498455874
27,5,32.4142986013796
27,5,32.4161897702738
27,5,35.4649312452977
27,5,35.6722709121827
27,10,27.5823277224185
27,10,28.4954473317743
27,10,28.8772250975011
27,10,30.6365165284938
27,50,19.9306328570604
27,50,22.5812947279189
27,50,25.0807776865712
27,50,25.7720484201166
27,100,19.20624884491
27,100,22.6516305707277
27,100,25.1155466991714
27,100,25.4230001732398
27,500,20.4824922587148
27,500,25.0665199643473
27,500,25.1221557508554
27,500,26.9304813919323
