t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.205580443010729,43.399540373572,0.771899239840188
7,NaN,23.4649962810735,NaN
8.5,NaN,NaN,17.179353197359
15,NaN,18.0137673355775,22.219728867688
25,0.137710555276863,27.9205417886688,9.53109456256179
30,NaN,33.96565757508,NaN
35,NaN,NaN,3.49690968939602
40,NaN,34.5007800397519,NaN
50,0.0411368386144902,NaN,0.714781732241056
55,NaN,40.853673686441,NaN
60,NaN,NaN,0.43946885150777
65,NaN,48.7887854839526,NaN
75,0.0612087321178764,NaN,NaN
80,NaN,NaN,0.290802570436683
85,NaN,45.3878446674179,NaN
95,NaN,NaN,0.264149341000853
100,0.0860430608386435,38.9422684602131,0.349225731407902
150,0.108855793401499,NaN,NaN
200,0.129193661056384,NaN,NaN
250,0.16702448726041,NaN,NaN
300,0.152367023430809,NaN,NaN
350,0.167774016814062,NaN,NaN
450,0.179171653912312,NaN,NaN
