t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.192913362136301,41.0341490938962,0.771215888048785
20,0.0842295504390253,10.3705714400768,28.2370199816981
40,NaN,11.8807539713978,27.7339506284114
45,0.0893616257827921,NaN,NaN
60,NaN,12.5058596830395,28.5436619590289
65,0.0594070814255555,NaN,NaN
80,NaN,11.3157670868913,NaN
85,NaN,NaN,28.7949685205817
90,0.0572470951419599,NaN,NaN
100,0.0517132717976437,14.4074973997466,20.0863518690101
150,0.0390025847138535,18.9860686052772,20.2876795509576
200,0.0294526855067475,21.7433021764977,20.2090748100886
250,0.0210010002062199,22.5733641922396,16.3067480635116
300,0.0198163574732286,27.0816883218444,14.9931827298582
350,0.0108359388456247,26.3678913991101,12.4509581579044
450,0.00704517011552141,31.5281329590217,7.91964042667655
