t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA5_Obs,SOCS3_Obs
0,0.178054028461377,40.889387325827,1.00687282045902,0.00233513675389497,0.0267346818318574
7.5,NaN,26.5992876304031,11.3968468855585,0.00308488360056332,NaN
9,NaN,NaN,NaN,NaN,0.026276643764326
10,0.15098965859602,NaN,NaN,NaN,NaN
15,NaN,25.8119748228266,17.442066804147,0.0438764763480001,NaN
20,0.148226997992709,NaN,NaN,NaN,0.462769795724456
25,NaN,30.0321510797261,15.0772003406096,0.186359284493171,NaN
30,NaN,25.5466856732357,15.7128031370468,NaN,2.18792004767152
35,0.0778202613621894,NaN,NaN,0.295758220694326,NaN
40,NaN,27.9544106511245,7.35585653378535,NaN,3.1590559387937
45,0.0572752008623547,NaN,NaN,0.209400496903789,NaN
50,NaN,36.6952169114349,NaN,NaN,NaN
55,NaN,NaN,5.0051815641179,NaN,1.78451260683279
60,NaN,NaN,NaN,0.0627304731642622,NaN
65,0.0362010058451083,39.5879597996124,4.91333105490802,NaN,NaN
75,NaN,NaN,NaN,0.0385025387081526,0.491447786371832
80,0.0405245872713065,37.0855831567042,6.28458629516716,NaN,NaN
90,NaN,NaN,NaN,0.0548265826920135,NaN
95,NaN,35.4142958099579,NaN,NaN,NaN
100,NaN,34.8663069007834,6.10822739063945,0.0651239472317149,NaN
150,NaN,35.3895622371057,NaN,NaN,NaN
