t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.175055200490299,38.3919338242867,0.831626224654408
9,NaN,22.272750998948,15.4599589590024
20,NaN,30.8585932300469,8.79393265579782
25,0.143678827496807,NaN,NaN
30,NaN,36.3377331820008,3.09844474841793
40,NaN,47.2847793201427,1.51948474457415
50,0.0828153554522126,NaN,NaN
55,NaN,50.9481572419171,0.598699378370705
70,NaN,39.0614307794985,0.423760662678892
75,0.074380218356176,NaN,NaN
90,NaN,36.7611213897416,0.466316708384027
100,0.119639725190381,41.3996524604387,0.374211399387031
150,0.140879480278828,NaN,NaN
200,0.151377099770281,NaN,NaN
250,0.169726420920758,NaN,NaN
300,0.164242283626804,NaN,NaN
350,0.187093997529007,NaN,NaN
450,0.168525842032256,NaN,NaN
