t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA5_Obs,SOCS3_Obs
0,0.199976098440048,47.1929701030424,0.924386465534619,0.0023812575183614,0.0273025624265221
8,NaN,NaN,NaN,NaN,0.0329659981264568
10,NaN,12.7520680204139,28.4707774483438,NaN,NaN
15,0.115093485715666,NaN,NaN,NaN,0.464571504360835
20,NaN,16.9706058948071,NaN,0.332200313490381,NaN
25,NaN,NaN,24.0379061056418,NaN,3.82299564431618
30,0.0502579843816794,21.7778460739078,NaN,NaN,NaN
35,NaN,NaN,8.1193165177985,0.493918642978087,6.17272959069229
45,NaN,34.4368543202834,NaN,NaN,4.01302911085105
50,0.0140161795623888,NaN,3.26174622961569,NaN,NaN
55,NaN,38.9483841524958,NaN,0.0985391334274985,NaN
60,NaN,NaN,NaN,NaN,1.19829185880558
65,NaN,NaN,6.49259411835987,NaN,NaN
70,0.0163731866178523,37.9995907184472,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.402630506514389
80,NaN,NaN,NaN,0.0613072570917469,NaN
85,NaN,NaN,13.1607580004096,NaN,NaN
90,0.0260410059349981,31.6555684975957,NaN,NaN,0.986394584118368
100,0.0202216684461685,35.2280022762541,11.086037039351,0.15246664339504,1.34977342798708
150,NaN,30.9852750430938,10.4354051655823,0.111667477149862,NaN
200,NaN,NaN,NaN,0.115224251238379,NaN
250,NaN,NaN,NaN,0.106472722830765,NaN
