timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,11.324235375642,10.1391607723551,0.818374204124597,8.87302730932452
450,11.1273883895144,10.3486611690371,0.203408490780016,10.8794576983532
850,11.1976585809475,NaN,NaN,NaN
900,NaN,NaN,1.35476971127088,11.2803596877747
950,NaN,9.56302561551631,NaN,NaN
1500,9.2724353844723,6.6991132348265,3.77290396947095,9.19460305981665
2000,8.22255399156639,2.85887628501286,6.35906408209219,7.93353547535048
2500,9.19487483193699,NaN,6.42537418808345,8.67096770828053
3000,6.32079412043001,-0.14972022762595,6.47210743950433,NaN
3500,NaN,NaN,NaN,6.43987554694674
4000,5.51091335310589,-0.339235632993761,4.81378392615229,NaN
4500,2.41987268829781,NaN,NaN,2.77061411231396
5000,NaN,-0.349913259857512,3.83101805009032,NaN
5500,2.7465630430075,NaN,NaN,3.21290010958518
6000,NaN,NaN,4.21141414776322,NaN
7000,2.25955086203531,NaN,2.48731912959041,-1.5313274103331
8500,0.71041180559213,NaN,2.35824811002044,2.33895783550148
