timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,10.8162569980021,10.0748567518599,-1.58317291254131,8.09134548291012
150,NaN,-0.218327980113343,NaN,NaN
250,NaN,0.0957474548742587,NaN,NaN
300,NaN,NaN,6.17338089024019,NaN
400,NaN,-0.200090810728868,NaN,10.1373531593643
500,13.1781083999538,NaN,NaN,NaN
550,NaN,0.32199391815995,NaN,NaN
650,NaN,NaN,10.3440947121177,NaN
750,NaN,-0.0493888347730558,NaN,NaN
850,NaN,NaN,NaN,11.0245985778533
950,NaN,-0.210374425212177,7.93755827842424,NaN
1000,13.6048790636738,0.60639471816868,NaN,NaN
1500,10.7744968014953,0.201142335770054,12.0974886849785,11.1485490930031
2000,13.3945592144976,NaN,8.91504032560907,9.23556873145839
2500,NaN,NaN,8.56792730913771,7.13332462259995
3000,8.27858475657458,NaN,8.0705957498538,9.22789026263455
3500,NaN,NaN,8.287052763987,NaN
4000,7.79479239589561,NaN,8.80575323486192,6.85222897878975
4500,NaN,NaN,8.68589927741977,5.67057269819887
5000,6.37683539266286,NaN,NaN,NaN
5500,NaN,NaN,5.55448058881633,8.15930462843096
6500,4.62338775081703,NaN,8.07435205465334,NaN
7000,NaN,NaN,NaN,7.92991689716137
7500,NaN,NaN,6.38006049596719,NaN
8500,7.89417081023436,NaN,6.40614096914352,7.53270333260048
