timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,8.22565760802215,9.24418802719483,-0.00195422467016816,12.6604521456028
300,NaN,9.88999333823635,NaN,NaN
400,8.64010963409471,NaN,1.59050050764924,10.1676271899199
650,NaN,7.41849997061762,NaN,NaN
800,10.6188716811506,NaN,1.33697958894155,NaN
850,NaN,NaN,NaN,11.1642283935064
950,NaN,5.6164789182938,NaN,NaN
1000,9.85699321098295,NaN,3.52955096603414,NaN
1500,8.99152083425932,2.44837333321666,8.00913538102032,9.54565709046363
2000,10.5577700494232,1.04471139316533,7.47288601293396,8.3229600037226
2500,8.5003045661415,1.39108603857831,8.95344500929809,7.90662098626809
3000,NaN,-0.0411355041993486,NaN,8.7482426530073
3500,4.82767768024592,NaN,7.00981153567524,NaN
4000,6.68518074458105,0.494665951488298,5.09458929561305,6.35042624231845
4500,NaN,0.29911075877169,NaN,3.99966419760576
5000,4.21430046792018,NaN,5.8442927312114,NaN
5500,NaN,0.836370146294303,NaN,5.43292088699346
6000,5.83179138440732,NaN,4.71998118681904,NaN
6500,NaN,0.082879262338886,NaN,NaN
7000,3.40462513853874,NaN,3.86079737176348,5.23699070937038
8500,3.26937672574068,NaN,3.94234375194954,4.99517605531863
