timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,9.69060169431337,10.2865614449275,1.50282578264162,8.39636248802392
400,NaN,9.67584074283277,NaN,11.6785442791494
450,10.6856146424622,NaN,2.22149185835538,NaN
850,NaN,6.41271132049143,NaN,11.2588305175999
900,NaN,NaN,4.68160819444793,NaN
950,10.2586959231006,NaN,NaN,NaN
1500,6.9544330164909,2.95076311513746,10.4234146159642,12.3206637005312
2000,8.82793884781228,1.62432763364044,8.56412603439018,8.13636152674128
2500,8.12724397729989,1.84379380712272,10.3018421916709,4.90330000083235
3000,NaN,1.21731376186206,6.7108510282514,6.99328706253054
3500,6.93586376228794,NaN,NaN,NaN
4000,NaN,1.537653007147,6.86378773658341,7.11922706199436
4500,6.86060882658049,1.24483355256971,6.31866627090181,6.69539015417763
5500,8.38530300311939,1.29241745839828,NaN,3.44414329469393
6000,NaN,NaN,6.06506528062641,NaN
7000,4.36665358745939,1.19243443438899,3.18579118591689,0.492217802085658
8500,4.29804393261508,1.00392127150375,3.85705808072119,2.52922091777658
