timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,9.28835241253525,8.83880580538695,-0.249594595807103,11.1851422193359
350,8.84928125677269,NaN,0.0418981222465957,NaN
400,NaN,10.6521768353371,NaN,9.52649992106274
700,NaN,NaN,0.819594644593683,NaN
750,12.0239955291273,NaN,NaN,NaN
800,NaN,9.51428378644632,NaN,NaN
850,NaN,NaN,NaN,10.0906004345731
1000,10.2065623907048,NaN,1.08112611375813,NaN
1500,7.48727494003715,10.8114192417991,2.58240087412885,10.8021355141088
2000,9.77300081331735,8.33368253265319,3.56916343607407,5.53688817596447
2500,5.7411378469019,NaN,2.7124449926158,8.16337649659913
3000,NaN,5.90941975666244,2.62545160272149,5.95871044244585
3500,6.94313814375935,1.15732552096785,NaN,NaN
4000,3.02101822572566,4.87536233250347,2.34930850624034,3.08443285291989
5000,4.48849821001872,2.88348629177941,0.922617754669838,1.62158323630411
6000,NaN,1.51288793793644,2.12551680968984,NaN
7000,NaN,0.772390566866895,1.71402082829568,NaN
8500,NaN,0.912630193832457,NaN,NaN
