timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,10.3865635323777,11.7146298443266,-0.319001939582084,9.80264599527756
400,9.26828174953323,10.3263908230612,0.0203448659542174,NaN
450,NaN,NaN,NaN,9.72028168702028
750,NaN,NaN,0.644341092064593,NaN
800,11.5709192261711,10.8155964174358,NaN,NaN
900,NaN,NaN,NaN,11.0432105024757
1000,9.63592804610075,9.05923421221342,0.591336735904575,NaN
1500,8.89329688864571,7.59108327555343,1.45483166001166,7.94057652664402
2000,11.2205497698413,9.38513393819737,2.06282683128302,9.1544198478176
2500,NaN,9.74312584076613,1.91991407107871,6.85569012821937
3000,5.95640509061284,NaN,NaN,6.57039646758159
3500,7.17774673374212,4.50653702759999,2.0002245431081,NaN
4000,7.04386718319723,4.60963599606143,1.66889699750173,3.02381066731736
4500,NaN,NaN,NaN,1.36005724769461
5000,3.50335919167616,2.70039393188637,1.80295058996003,NaN
6000,2.77767975595392,0.747923269706744,1.1948563998259,3.30407511355921
7000,2.26914856197724,NaN,1.07950620618377,0.797096157642154
7500,NaN,1.70479953542885,NaN,NaN
8500,3.05453616457468,NaN,1.13819223340579,-0.435402921370911
