timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,10.6205498588761,10.4003790014728,0.535972906797968,9.45465436651756
400,NaN,10.0069947209311,0.913710400222173,NaN
450,10.7830216020984,NaN,NaN,10.8658760253012
800,NaN,9.11252969021121,NaN,NaN
850,8.18768737997684,NaN,0.0788798649964937,9.23552388883682
1000,NaN,8.3536127207556,NaN,NaN
1500,8.89538390974506,4.1927994141246,7.40247723407274,9.69268263612413
2000,9.88848219318916,3.35951099531304,8.84586944652681,7.23653345217514
2500,8.45067123142478,NaN,10.3786450704022,8.8389835771339
3000,7.02478999708532,1.49075158123912,8.42137090253387,10.849397992837
3500,NaN,1.84986765479619,NaN,NaN
4000,8.23534142977472,0.78123130547718,8.59677752790505,5.95850000942184
4500,7.17470552093102,NaN,5.74866672038348,5.89020932987246
5000,NaN,2.7240171576981,NaN,NaN
5500,5.92220423521079,NaN,5.84660795422172,NaN
6000,NaN,NaN,NaN,2.99494700640378
6500,NaN,0.377871484825398,NaN,NaN
7000,6.69227096943652,NaN,5.45599869223925,4.63169909781609
8000,NaN,0.814577075522492,NaN,NaN
8500,7.53037855878926,NaN,4.60214192371563,3.39259863181651
