timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,8.68937141345507,10.5764513387103,0.644010272837581,10.2905804960411
350,NaN,9.58119391163789,NaN,NaN
400,NaN,NaN,-0.492190001608496,8.93823614472958
450,8.95826311868949,NaN,NaN,NaN
700,NaN,9.25179501488729,NaN,NaN
850,9.93581395213874,NaN,0.159499044369891,10.1483033404569
1000,NaN,8.3232368012623,NaN,NaN
1500,9.94717079187486,7.61315545343941,1.41212990535255,9.71746678064898
2000,8.78602700912243,9.4533014547635,3.00805705077589,9.96721686742953
2500,9.64608571615053,5.6503291321802,2.13175834364504,7.48520666584973
3000,5.81047561597011,8.09722534125446,3.08968004748,5.02377939206837
3500,NaN,6.00417382724165,2.19233620318049,NaN
4000,4.23763876100181,NaN,NaN,5.34885124949135
4500,4.78014883290756,3.27970286017516,2.49052547242283,3.7610526384777
5000,NaN,1.00245786676629,NaN,NaN
5500,NaN,NaN,1.85772971676937,2.30732676663395
6000,3.58679894619373,NaN,NaN,NaN
6500,NaN,1.42844396882013,NaN,NaN
7000,0.899509268644007,NaN,1.52937428521567,2.47892816197469
8500,0.944151335589415,NaN,1.34037651621108,1.09374700123401
