timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,10.4116808151097,10.3777568756462,-1.09463249263564,10.077989264601
400,NaN,9.22193755301553,2.4338636661847,9.63591089385088
450,8.17295374735369,NaN,NaN,NaN
800,NaN,NaN,2.32342549736825,10.4252536767142
850,10.3587678290302,7.21049862396262,NaN,NaN
1000,NaN,NaN,4.2943516365222,8.94778252322093
1500,10.3374152287875,1.79320769143904,7.43510489298729,9.05773809900152
2000,9.33164283841191,1.38713553310146,8.9768302444238,7.77574023633566
2500,8.14386117990747,1.35464835592095,9.32947139065755,7.68781627358845
3000,9.00080465556028,1.68540317360163,NaN,NaN
3500,NaN,0.570841762656917,5.52827276741808,5.34005643072894
4000,6.6419295485947,NaN,6.94163084490148,6.44095904870309
4500,8.42608478616194,1.74921173314516,NaN,NaN
5000,NaN,NaN,5.69214749402859,3.01765759920731
5500,3.44049113893852,0.660027875862185,NaN,NaN
6000,NaN,NaN,3.98319314281702,1.64396702777613
6500,NaN,0.637424969442827,NaN,NaN
7000,2.91312198002529,NaN,4.27416775796653,6.962901813653
8000,NaN,1.25888959763592,NaN,NaN
8500,5.11272657922666,NaN,4.14066495159754,2.45475872896914
