timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,7.84913396468447,10.2191392409373,4.73181169814134,8.6635352401273
100,NaN,0.0836171677943024,NaN,NaN
250,NaN,-0.00365492799395873,NaN,NaN
350,NaN,NaN,10.777655325195,12.8778876668805
400,11.3079841123562,0.249615072608565,NaN,NaN
550,NaN,0.586146408837272,NaN,NaN
650,NaN,NaN,9.6134772339892,NaN
700,NaN,0.155062499548068,NaN,NaN
750,NaN,NaN,NaN,10.7780846030306
800,10.6370271955079,NaN,NaN,NaN
900,NaN,0.272448547737775,NaN,NaN
1000,8.99232702238936,0.686817431943012,11.5333046967719,12.6467941710552
1500,8.71006175647176,NaN,11.1467477181667,8.96514433985019
2000,8.74208520140907,NaN,8.47643951081143,6.77973599262396
2500,10.2152844960817,NaN,8.23419698414889,9.73760740672792
3000,NaN,NaN,8.63834278162872,8.08172106722011
3500,8.18861862545587,NaN,NaN,NaN
4000,8.0024481056663,NaN,7.59389951264577,10.5973509585934
4500,NaN,NaN,8.89963947985883,NaN
5000,9.29198198315049,NaN,NaN,4.6787252337076
5500,NaN,NaN,9.38782834185863,NaN
6000,9.76601290757269,NaN,7.35951345149433,6.50609231731557
7000,7.95225702702771,NaN,NaN,7.7175058591642
7500,NaN,NaN,8.79637121974832,NaN
8500,8.57840087685413,NaN,9.77782164783283,6.32759805837091
