t,IRins_Obs,IRp_Obs,IRiP_Obs,IRSiP_Obs
0,0.789178613760278,2.87097995571261e-08,2.66509960307411e-05,0.161151757569779
1,2.67215438319273,1.22942329462969e-07,NaN,1.17919580471758
2,NaN,NaN,0.000209828210933668,1.55355088974256
2.5,4.66633526163881,2.10453106281174e-07,NaN,NaN
3.5,4.9291751143322,2.47361345421657e-07,NaN,1.33215302704741
4.5,NaN,NaN,0.000317811395797444,1.47702711190833
5,9.40650658962657,4.12081594171536e-07,NaN,NaN
6,NaN,3.82102393010797e-07,NaN,1.66294952367907
6.5,8.61147781692341,NaN,NaN,NaN
7,NaN,NaN,0.000247252945421957,NaN
8,8.63644791846764,3.93274179699581e-07,NaN,1.63811421321162
9.5,NaN,NaN,NaN,1.39466576659612
10,8.27765317902658,3.57030444566591e-07,0.000223769537850036,1.41750050068672
15,8.57119888676355,2.99122751677539e-07,0.000247034531732501,1.51821649856759
20,6.58692963556166,3.17436241004822e-07,0.000207968837608874,1.35311812473312
