t,IR_Obs,IRins_Obs,IRp_Obs,IRiP_Obs,IRSiP_Obs,XX_Obs,XXp_Obs
0,9.92605818295005,0.54800760690196,2.15935183536774e-08,-1.30884228034401e-05,-0.0854964501230992,9.85484253874388,0.000195942883599693
1,NaN,NaN,NaN,NaN,NaN,10.2465181999068,NaN
1.5,0.0455909858149633,NaN,NaN,NaN,NaN,NaN,NaN
2,NaN,9.22258411553071,NaN,NaN,2.04853233029266,9.40037827426323,NaN
2.5,NaN,NaN,3.969273697245e-07,NaN,NaN,NaN,NaN
3.5,-0.0154912865274852,NaN,NaN,NaN,NaN,10.3939498603132,NaN
4,NaN,NaN,NaN,0.00026169969536252,NaN,NaN,NaN
4.5,NaN,9.22436678381067,NaN,NaN,1.62673010257028,10.0482390691484,0.00231341752514118
5,0.136812646688183,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,3.87245373824135e-07,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,11.0461587060343,NaN
6.5,NaN,9.00820541646988,NaN,NaN,NaN,NaN,NaN
7,0.21776977501076,NaN,NaN,NaN,1.56067186742823,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,8.72676263671496,NaN
8.5,NaN,NaN,3.62041089283056e-07,0.000243287981623451,NaN,NaN,NaN
9,NaN,7.96052491123747,NaN,NaN,NaN,11.1577964357192,0.00211854314163418
9.5,-0.0183284371634768,NaN,NaN,NaN,1.41317272698943,NaN,NaN
10,-0.0417307683604517,8.04825455679216,3.48368057724217e-07,NaN,NaN,9.63263672336503,NaN
15,-0.0100494973709648,8.23772172503733,3.12303991768609e-07,0.000229649856625043,1.45813962293622,8.39573114462133,0.00199386667608254
20,0.0897585719003004,6.73624400856309,2.96238276749639e-07,0.000202339195348909,1.15787999075861,10.6524900509132,0.00184144155933352
25,0.088666409008479,6.67345893559948,2.75047971940177e-07,0.00023384092171894,1.39214662748752,NaN,0.00179699457374833
30,NaN,6.6022872980851,2.62649816400874e-07,0.000236333121702647,1.22190725174777,NaN,0.00193224499773561
35,NaN,NaN,2.95010121875542e-07,NaN,NaN,NaN,NaN
40,NaN,6.70166974816326,NaN,0.000216551145890027,NaN,NaN,0.00185188762728765
45,NaN,6.08302571777076,2.62673620249105e-07,NaN,NaN,NaN,0.00165225037759576
50,NaN,NaN,2.48919488071382e-07,0.000195684625807727,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,0.00171340269909598
60,NaN,NaN,NaN,0.000182542797318473,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,0.0019203759228133
