t,Rec1_Obs,InsulinFragments_Obs
0,57.7220195526749,4.09050811315802e-05
3.5,93.6206271962999,NaN
6.5,79.9325309299973,NaN
10,98.1326608149854,0.00251627033170645
15,39.9579088295983,NaN
20,155.327185988445,NaN
25,123.828259985543,0.0127727509106137
30,17.7175123067363,NaN
35,NaN,0.0104052228891832
40,68.3821533046966,NaN
45,96.5511649807155,NaN
50,NaN,0.0120251363457393
65,NaN,0.0283170973521968
80,NaN,0.144727190189729
100,NaN,0.052916275620749
150,NaN,0.0349946189037613
200,NaN,0.0652580439541342
