t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,EpoRJAK2_Obs,Compound_1_Obs
0,-0.00180717382249834,0.00722439950453335,56.8294652690948,-112.303396093501,31.5178724131163,-9.53666566145048,3.33182570382822,0.139773290932395
4.5,NaN,0.238267687661684,NaN,NaN,NaN,NaN,NaN,NaN
6,0.0284846120457456,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,3.90053659628407,NaN
8,NaN,NaN,NaN,NaN,30.2473910428746,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,4.21003775550067,NaN,NaN
9,NaN,0.0961965408344114,NaN,NaN,NaN,NaN,NaN,3.55646383358542
9.5,NaN,NaN,NaN,205.963365414564,NaN,NaN,NaN,NaN
10,0.0184529138509524,NaN,32.7390259178387,NaN,NaN,NaN,NaN,NaN
15,NaN,0.0424912697356512,NaN,NaN,283.427790513782,55.9670531920068,4.65430881382263,NaN
20,0.0117492983814874,0.0255380980790553,NaN,481.803929794849,NaN,NaN,4.15631189645577,8.05981713083106
25,0.0090485353879788,0.0155867147671525,59.7072250039336,NaN,473.154888490266,105.226005584576,NaN,NaN
30,NaN,NaN,NaN,861.336922791017,NaN,NaN,4.31173185713724,9.74988462117667
35,0.00703549809528976,0.0074716901111329,51.2111839197589,NaN,870.870877161071,489.274072452949,NaN,NaN
40,0.00437679753341744,0.0108310574670883,NaN,1001.8612307262,750.64704273162,NaN,4.69760760077079,11.8426767796588
45,NaN,NaN,NaN,NaN,NaN,643.80738080504,NaN,NaN
50,0.00528302108593997,NaN,44.6378540065137,865.723408783938,956.48724705145,NaN,3.95156607816122,11.6837902370795
55,NaN,0.0125541547868547,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,868.502220189985,4.42535961768114,10.0083722766262
65,0.00350354397930367,NaN,65.4756089526109,844.923918694988,798.812553875684,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,844.679398791866,NaN,NaN
75,NaN,NaN,NaN,NaN,785.438906199564,NaN,4.30884871365566,8.35629356248245
80,0.00234473551534531,NaN,70.6045503275168,720.610075407239,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,816.407201366236,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,4.40070375723926,9.04714224229122
95,0.00320576056391504,NaN,NaN,NaN,522.836528528463,NaN,NaN,NaN
100,NaN,NaN,56.9176519749134,452.123284982242,513.499407451675,610.989911381467,4.39061914789731,5.44895588446101
150,NaN,NaN,50.3873141876553,309.702188038645,281.999115609128,196.072389789674,NaN,2.99461131376815
200,NaN,NaN,57.8333080784401,209.220639296344,91.8556965228962,209.114049469951,NaN,1.17611325697881
