t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CISRNA_Obs,CIS_Obs,SOCS3_Obs,EpoRJAK2_Obs,Compound_1_Obs
0,0.000432180821530489,0.000970117515632326,14.4093453726957,46.4833609837587,-0.497179170674252,-20.668514585683,-51.049048977517,23.4034981850246,0.0109389682741458,-0.434805876783409,-1.51226824225703,4.56845480120478,-0.338913135276008
15,NaN,NaN,NaN,NaN,NaN,NaN,324.787403076875,NaN,NaN,NaN,NaN,3.41935503844454,NaN
20,NaN,NaN,13.4535387903013,NaN,NaN,937.222401967568,NaN,103.25391297446,NaN,NaN,NaN,NaN,13.8883702706871
25,NaN,NaN,NaN,16.9076958231114,NaN,NaN,NaN,NaN,0.0397420961351214,NaN,1.85014710325636,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.07157780752863,NaN,NaN,NaN
35,0.0147939132961855,NaN,NaN,NaN,17.7220896488592,NaN,1226.00807908235,NaN,NaN,NaN,NaN,3.38841153724487,NaN
40,NaN,0.0231723229431935,13.7214726414985,NaN,NaN,1249.77251292483,NaN,959.909704632016,NaN,NaN,NaN,NaN,17.4184638459868
50,NaN,NaN,NaN,NaN,NaN,NaN,1311.56751335944,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,29.6365800583101,NaN,NaN,NaN,NaN,0.194507127890003,NaN,11.0213189841659,3.92613952106959,NaN
60,NaN,NaN,14.4703315541846,NaN,NaN,NaN,NaN,1239.16891040901,NaN,16.3621587831929,NaN,NaN,14.896229975747
65,NaN,NaN,NaN,NaN,NaN,1218.56459264031,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,0.00697255984631122,NaN,NaN,NaN,NaN,NaN,1270.1714923225,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,6.70354007640365,NaN,NaN,NaN,NaN,NaN,NaN,3.83963088902139,NaN
80,NaN,0.00629321984814177,13.4800209249988,33.0023382813438,NaN,NaN,NaN,1112.29282749282,NaN,NaN,NaN,NaN,11.5093843336759
85,NaN,NaN,NaN,NaN,NaN,894.580854806602,NaN,NaN,0.202965397016642,NaN,15.6463181810235,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,858.783419794126,NaN,NaN,29.0570163870125,NaN,NaN,NaN
100,0.00598035491267866,0.00452935113444365,13.9325326245684,40.8673815409425,5.16793554314313,658.324541958803,842.491444617741,952.273706473547,0.151504532489991,28.7673738970702,20.1170827757242,4.19232976045906,7.54673420014498
150,0.0053980544703102,NaN,13.8290315515305,44.6147359920877,2.70129126651475,378.725300065233,304.363893752497,430.213708758239,0.0709999268157676,30.3332005495958,13.7506151811951,4.44518575334193,3.66537777464334
200,0.00887849652724551,0.0127227493679506,15.4476999160149,46.9132741376993,NaN,269.702548331164,169.199077575087,175.348560376579,0.0391717432852291,25.4003437021418,9.89041013617874,NaN,3.72715521608108
250,0.0101174324146608,0.0119731069722244,11.8720812587443,41.4486473828323,2.55502520739472,202.401434367933,230.221469824326,96.9612024692807,0.0282147571293625,21.6324853812757,9.21761202437568,NaN,1.69736155073152
300,NaN,0.0144032202105608,12.2425405686417,NaN,2.92662173528327,160.988836338064,131.604304053273,182.189247646719,NaN,14.6621748693963,7.78042171210966,NaN,3.0733817721688
350,0.00858857870663778,NaN,12.4510537132844,NaN,NaN,NaN,NaN,NaN,0.0432253596109879,13.484392328768,4.99595755149337,NaN,4.07712880648902
400,0.00925197876333391,NaN,14.3494066491728,NaN,NaN,340.648614368312,NaN,NaN,NaN,NaN,7.9533963268891,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.9990173111739,NaN,NaN,NaN
500,0.00931964089435544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.72355864953902,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.7839766663822,NaN,NaN,NaN
