t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CISRNA_Obs
0,1.01539386351077e-05,0,53.2511638126619,0.00111307016991593,0,0.0158535117816297,0.00795100571349139,0
9,NaN,0.00431760551698333,NaN,NaN,NaN,NaN,NaN,NaN
10,0.0107778024828946,NaN,NaN,0.0327101554826809,NaN,NaN,NaN,NaN
15,NaN,NaN,59.3182349263647,NaN,0.860286338410497,0.526596434226457,0.0251574875553077,2.93188927251825e-06
20,NaN,0.0193711852485843,NaN,0.121768169682159,NaN,NaN,NaN,NaN
25,0.0121772630481778,NaN,37.0345485321483,NaN,4.54477996987812,2.65530463425931,0.307968275316733,NaN
30,NaN,0.0103919804395783,NaN,NaN,NaN,NaN,NaN,NaN
35,0.0108071321948822,NaN,NaN,0.162395150483025,NaN,NaN,NaN,0.000367534466892745
40,NaN,0.00330583922389717,31.4617189653235,NaN,9.50914683512489,6.94026832434611,2.45529956454773,NaN
45,NaN,NaN,NaN,0.261071083722412,NaN,NaN,NaN,NaN
50,0.00502569512865859,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,0.00238512892947298,45.5597568075086,NaN,13.8643464835299,12.3186866065695,5.86036322302699,0.00126784582074951
60,NaN,NaN,NaN,0.168157226776213,NaN,NaN,NaN,NaN
70,0.00249666264167184,0.00174730514486404,NaN,NaN,12.4461201331923,13.7050626870042,7.42528011737315,NaN
75,NaN,NaN,41.0087783973919,0.263889173579936,NaN,NaN,NaN,0.00155967318810519
85,0.00229777856885009,0.00106789503058834,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,11.0989336712263,13.2292571439948,14.173426737023,NaN
95,NaN,NaN,55.302758308865,0.169370600985877,NaN,NaN,NaN,0.00183120466484731
100,0.00240582831105862,0.000851021265486773,48.983993023077,0.160085860234398,17.2723893013694,11.1127815249373,18.6414960079401,0.00195359222767275
150,0.00130584955099312,NaN,51.974667135523,0.14262172599247,11.9476489309802,13.0468666595244,16.2352995727347,0.0023930632622052
200,NaN,NaN,48.3214665178632,0.130467644838078,7.75151964362914,9.54679704919684,11.4149286042879,0.00255283610066328
250,NaN,NaN,53.8977698678009,NaN,10.3425645235143,13.6443031091256,14.4328417872293,0.00203145270768903
300,NaN,NaN,25.4002824522635,NaN,5.59220162623436,11.984659886957,8.69713502607322,0.00209865976121892
