t,epo_level,p1EpoRpJAK2_Obs,CISnRNA2_Obs,CISRNA_Obs
6,2.5e-09,0.00169796110019221,0.138036840056457,2.30592674629182e-08
6,7.905e-09,0.00383225393630872,0.313065754746861,6.38938198404941e-08
6,1.25e-08,0.00495838702207834,0.374557903795087,1.33207370332253e-07
6,1.75e-08,0.00555266997028356,0.764994536975288,1.9661695982241e-07
6,1.75e-08,0.00805818728759355,0.710413392861038,2.57695625717256e-07
6,1.75e-08,0.0108096824381813,0.827278735484509,3.22626111106324e-07
6,2.5e-08,0.0112632748401113,0.555809867889922,4.81555757110912e-07
6,2.5e-08,0.0128055621850255,0.939532922334305,4.54347922592486e-07
6,2.5e-08,0.0139648544250211,1.5458855447337,7.26910496600674e-07
6,3.95e-08,0.0157486011525836,1.9028284293996,9.29119158500319e-07
6,3.95e-08,0.0167314292212847,1.60699467717438,1.3416108966864e-06
6,3.95e-08,0.0186061464488888,2.23909399436292,7.15665777312405e-07
6,7.9e-08,0.0375608785073557,7.01112242013606,4.13160848602569e-06
6,1.25e-07,0.0265512944696599,10.0053273157779,5.85125862542128e-06
6,1.25e-07,0.0314415491415106,8.85806361458227,8.48263254310179e-06
6,1.25e-07,0.0568401774834725,11.3109915726665,4.76502239406003e-06
6,1.7675e-07,0.0404957762276261,17.1863096466428,7.86125080488201e-06
6,1.7675e-07,0.0494446296195355,20.9616984877234,6.41584236121551e-06
6,1.7675e-07,0.0551847280382985,12.7798180869492,1.23588316479832e-05
6,2.5e-07,0.0642822830865264,31.6470495495537,1.51338927495606e-05
6,2.5e-07,0.064304489681622,20.2759538647871,1.4773517633544e-05
6,2.5e-07,0.0659882560390208,17.9777339094683,1.66532573681797e-05
6,7.905e-07,0.081797509644286,34.1053154348571,3.96692870732959e-05
6,7.905e-07,0.0961246812301957,47.1268829674169,5.46621338659648e-05
6,7.905e-07,0.130514077711239,21.6863482791873,5.54880385005369e-05
6,2.5e-06,0.140243543034339,97.638484284386,6.09591062744194e-05
