t,epo_level,p12EpoRpJAK2_Obs,CISnRNA1_Obs,CISnRNA5_Obs
9,2.5e-09,0.0222233502578615,0.822321416456253,0.011516891327159
9,2.5e-09,0.0288446782166124,1.23967073615705,0.0154383736176526
9,2.5e-09,0.0318882008633476,0.821227861006611,0.0142936544347298
9,2.5e-08,0.17701534305431,31.5744840818743,0.123498922911236
9,2.5e-08,0.273981945071542,33.5233748053346,0.108688759736053
9,2.5e-08,0.279478086722089,33.475601544915,0.090194918659187
9,2.5e-07,0.351333537224927,241.621459274692,1.76511491871286
9,2.5e-07,0.442168869737909,542.029315670714,1.80809806041679
9,2.5e-07,0.543729088518077,439.222739833708,1.51131716269112
9,2.5e-06,0.189385500125133,470.126552076901,7.04742396435428
9,2.5e-06,0.240149909740762,482.335539008326,6.48909720986188
9,2.5e-06,0.411326421005323,609.31939587377,6.09702060174878
9,2.5e-05,0.348687641150783,431.553042648431,7.42110151010008
9,2.5e-05,0.551340334470016,729.861537326859,9.91666566979931
9,2.5e-05,0.601173274173191,391.336948028252,7.09946100448801
