t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CIS_Obs,Compound_1_Obs
0,-0.00105386266536035,-0.0275642668149685,14.1756633771055,-24.9378841193369,39.8615722385638,44.9822665407325,0.31196182338589,1.24948240619749
4.5,NaN,0.386711835799863,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,9.73922627617653,NaN,NaN
7.5,0.0375879799657306,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,97.4562091767393,-54.8743439174006,NaN,NaN,NaN
9,NaN,0.44155215643579,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,14.9382914053624,NaN,NaN,NaN,NaN,6.03575319847455
10,NaN,NaN,NaN,NaN,NaN,NaN,-0.525749643310239,NaN
15,0.0247393185433172,0.158053679255605,NaN,506.050415299083,300.574506528129,-13.589406918912,NaN,NaN
20,NaN,0.0902479600929859,12.4498265163722,NaN,NaN,129.104074409446,0.194278815754468,13.7506683599761
25,0.0205806863609624,0.0519212496939063,NaN,1022.11035277526,736.426056799454,NaN,NaN,NaN
30,0.015403031101523,NaN,13.0455358438196,NaN,NaN,452.627992665143,1.63876176803136,15.1806079379143
35,NaN,0.0110995866899955,NaN,1286.60132515131,1180.79365585434,681.873422173639,NaN,NaN
40,0.0116657769482475,0.0100087476309237,12.5216401538848,NaN,NaN,NaN,5.00360223590486,16.9342603065905
45,NaN,NaN,NaN,1328.4949743248,1368.67032192129,900.112768127361,NaN,NaN
50,NaN,0.0285376609202712,NaN,NaN,NaN,NaN,NaN,15.3076087554242
55,0.0108853574460369,NaN,14.525639433594,NaN,NaN,1192.37816121267,10.8932721965524,NaN
60,NaN,NaN,NaN,1084.92544636057,1245.41788887249,NaN,NaN,NaN
65,0.00736874296296131,0.0164212804520261,NaN,NaN,NaN,1154.43464730385,15.2487370785313,10.1997325924974
70,NaN,NaN,13.6959550554796,1054.60119531937,1156.11379745725,NaN,NaN,NaN
80,0.00688131260139781,NaN,NaN,NaN,NaN,1185.4860814635,NaN,9.91524831508169
85,NaN,NaN,13.2031608733566,NaN,903.677870186359,NaN,24.8636931910864,NaN
90,NaN,NaN,NaN,860.150612824746,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,954.065037175928,NaN,NaN
100,0.00645706384194365,NaN,15.2288684463216,678.914401445478,688.874498716575,1019.9731938441,29.9017991276464,9.97779031342007
150,NaN,NaN,12.9405832654649,291.961724891906,359.370394906589,380.74603163682,31.6991195414309,1.9298709319541
200,NaN,NaN,NaN,216.55777795234,241.645997185673,NaN,26.3140339858175,1.5954552719433
