t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,EpoRJAK2_CIS_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CISRNA_Obs
0,0.000104569984645491,0,1.16104896237858,0.00788502898762779,0,0.7703562334673,1.04799494118212,0
4,NaN,NaN,0.689420326678685,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,0.0533124804707637,NaN,NaN,NaN,NaN,NaN
8.5,0.492442467359072,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN,1.41717234605506,NaN
15,0.208204318965506,7.36486909402231e-05,0.00325187652071089,6.66607202497871,109.411986160598,46.8626561506032,NaN,0.000649917147255856
20,NaN,NaN,0.00143507464504662,NaN,NaN,NaN,NaN,NaN
25,0.0928546125551915,NaN,0.000619859324250539,10.5136759177245,124.980683203285,136.305763059036,38.4128680389942,NaN
30,NaN,NaN,0.000346483010254621,NaN,NaN,NaN,NaN,0.0138469614722231
35,0.0786735736049304,0.000551054057374621,NaN,NaN,NaN,NaN,208.553699979492,NaN
40,NaN,NaN,0.000146740993358867,10.9841397498443,333.617414318647,431.845770550264,NaN,NaN
45,0.0605858734989031,NaN,NaN,NaN,NaN,NaN,NaN,0.0440881404288368
50,NaN,NaN,NaN,NaN,NaN,NaN,226.951756930601,NaN
55,NaN,0.000365817847162568,NaN,8.86445172915607,327.083748704272,459.990653872595,NaN,NaN
60,0.0372861497562294,NaN,NaN,NaN,NaN,NaN,380.015903283805,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0884325685661249
70,0.0457891790019135,NaN,NaN,NaN,478.391601088624,674.528530866192,NaN,NaN
75,NaN,0.000691664165578475,NaN,5.45425519677197,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,483.152046016841,0.116175015746282
85,0.024229674470608,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,3.50525881876255,390.44181009573,624.679999827394,NaN,NaN
95,NaN,0.000531524847845302,NaN,NaN,NaN,NaN,447.888788205507,NaN
100,0.0199704311779686,0.0006898549211774,NaN,4.38023784467244,516.572079666975,602.20197479026,731.547498441307,0.0757505638978604
150,0.0158918940105458,0.00255119394895631,NaN,3.73457789426863,276.352209376117,312.344456176116,391.69514033566,0.0563748300732791
200,NaN,0.00433173643247584,NaN,3.41851316602802,272.28841033584,231.0442484516,181.549425223325,0.059610148624935
250,NaN,0.00961755972714881,NaN,2.04920694475057,363.643642895706,255.659387825424,151.230253437664,0.0396778458804009
300,NaN,0.0160254794369589,NaN,2.18560918592512,153.537171735977,364.968228567228,265.37475967949,0.0243571307103208
