t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,STAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,Compound_1_Obs
0,1.22739259670529e-05,0,68.5168683734041,77.6611406516666,0,0.788822317654872,1.08724449621518,0
4.5,NaN,0.221922674174434,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,22.7112091809187,NaN,NaN,NaN,NaN
7.5,0.0252795803517074,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,150.129679417234,48.6761923493105,NaN,NaN
9,NaN,0.0817604241526477,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,2.40760893547582,NaN
10,NaN,NaN,48.5225685371565,18.9532993668622,NaN,NaN,NaN,4.11008951209101
15,0.0119102873145327,0.0229715982628672,NaN,NaN,322.455601292114,NaN,NaN,NaN
20,NaN,0.018940417497342,NaN,22.5997766314995,NaN,478.138658738982,77.9428081601168,7.98616017222836
25,0.0108341762480662,0.0132485008162929,35.2566213075674,19.9113811729814,575.405075954086,839.715344360566,NaN,NaN
30,NaN,NaN,NaN,18.2043706141775,NaN,NaN,403.920218417165,8.3553376296726
35,0.00732906380216598,0.00701709722207662,68.0335309480267,NaN,1020.85719938081,525.107561206924,NaN,NaN
40,NaN,0.00508472988964194,NaN,19.7756849858885,NaN,NaN,524.879432899061,9.34974959285158
45,0.00420462978757535,NaN,NaN,34.1747485832872,737.879126801891,795.68921602723,NaN,NaN
50,NaN,NaN,49.8972101371139,NaN,NaN,NaN,NaN,NaN
55,0.00371245604759473,0.0027704833502625,NaN,28.8306599332086,NaN,NaN,1053.95696829437,11.6876709054561
60,NaN,NaN,NaN,NaN,887.103297005221,631.366431950555,NaN,NaN
65,0.00363713216038556,NaN,51.7151415195238,44.0615055995312,NaN,NaN,1318.3200565261,NaN
70,NaN,NaN,NaN,NaN,941.397472775428,723.889043808573,NaN,6.4307523671647
75,NaN,NaN,NaN,33.5081061386858,NaN,NaN,NaN,NaN
80,NaN,NaN,59.852373234683,NaN,NaN,NaN,786.791582737029,NaN
85,0.00393664226626732,NaN,NaN,NaN,609.159802052785,NaN,NaN,9.83836741662719
90,NaN,NaN,NaN,36.5364515859238,NaN,544.562349062805,NaN,NaN
100,0.00290507580093682,NaN,36.7602900862814,45.3814469842346,719.207697335571,516.762776943007,790.860124510756,4.84005198001241
150,NaN,NaN,89.3483100464763,43.6706536337767,256.051612215839,203.769066134232,439.660624852151,2.16303825611319
200,NaN,NaN,52.2168776849292,NaN,147.573481826934,196.331020855714,172.184507967584,1.81817627167597
