t,p12EpoRpJAK2_Obs,CISnRNA1_Obs,CISnRNA5_Obs
0,-0.0415602745596715,-17.0561806350127,-71.2287246072554
3.5,1.02086565446648,NaN,NaN
6,NaN,NaN,-37.5443133130123
7.5,0.485222775228864,NaN,NaN
8,NaN,243.259230316348,NaN
10,0.267346889674128,NaN,-96.4574575557643
15,0.132584381616848,892.945189252529,NaN
20,0.095564348245493,NaN,157.52213065817
25,0.056251742135668,1702.62645586368,395.746326079993
35,0.0205702702703636,2031.24659295314,828.054781482241
40,0.0155530877240925,NaN,1127.18785686562
45,NaN,1756.87933691881,NaN
50,0.032813790049909,NaN,1691.69520143971
55,NaN,1456.21156621573,NaN
60,NaN,NaN,1799.71383821606
65,NaN,1447.64402363032,NaN
70,NaN,NaN,1692.44294338965
80,NaN,1359.57042765231,NaN
85,NaN,NaN,1470.13891280989
95,NaN,998.103224563826,NaN
100,NaN,927.962712344666,1133.06077263134
150,NaN,471.095697684341,609.304678253913
200,NaN,413.994795911575,NaN
