t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CISRNA_Obs,SOCS3_Obs
0,0.00110359272031711,0.00113048398692049,-0.0119750304745142,-1.0284311039328,1.16237633189657,0.579376140814628,2.43489324745814e-05,150.154293954461
8.5,NaN,0.00297823887439119,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,-1.76273418670402,NaN,NaN,NaN
15,0.0124099898026946,0.0107453873202559,0.096897918152993,1.88135556254835,NaN,-0.873534166673626,-3.58199628039762e-05,119.617489013187
25,NaN,0.0128578345190296,NaN,NaN,1.28917290918864,1.02037334215986,NaN,NaN
30,0.00769523510480634,NaN,NaN,4.6340161180528,NaN,NaN,NaN,149.321065791113
35,NaN,0.00678945140697735,0.203112946483654,NaN,4.33518481821454,NaN,0.000602619505432104,NaN
40,NaN,NaN,NaN,NaN,NaN,4.80331839624206,NaN,NaN
45,0.00452497255018585,NaN,NaN,7.80498324567777,NaN,NaN,NaN,138.283175024012
50,NaN,0.00264714017959482,NaN,NaN,8.3584324677543,NaN,0.000397515630179201,NaN
55,NaN,NaN,0.182407901154674,NaN,NaN,7.05819071577562,NaN,NaN
60,0.00255969314987632,0.00247782479852194,NaN,10.2208341403529,NaN,NaN,NaN,121.382057242102
65,NaN,NaN,NaN,NaN,13.281316249481,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,9.68029482681629,0.00197180585528575,NaN
75,0.00276851995078593,0.00166056341859515,0.158841568525212,13.4482936677157,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,11.6564839494746,NaN,NaN,130.084288604002
90,NaN,NaN,NaN,NaN,NaN,12.9983622185604,NaN,NaN
95,0.00277024010425539,0.000687651344644993,0.188469523789494,NaN,NaN,NaN,0.00224612538070754,NaN
100,0.00279924544014356,0.000646410635423114,0.170053492064254,12.6585853528591,13.7516277782645,13.0545863143735,0.00226016911035227,135.045338453641
150,0.0016671184010075,NaN,0.132445161525923,11.5925908541731,12.4419886109122,12.4413900408551,0.00218387952663275,153.118767110598
200,0.00198361406047926,NaN,0.148675337503666,11.0375499086247,10.9939219494176,12.1060045218943,0.00200678785676494,162.016655339399
250,NaN,NaN,0.12745104910505,11.2334519612658,10.407326816116,11.0190167814391,0.00175402145153574,153.870328444106
300,NaN,NaN,0.110998582836933,10.5060310832395,9.4466235249518,10.981658236673,0.00188802486117117,NaN
