t,CISHnRNA3_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,0.000113577285229286,0.000161779100625882,0.000148577827707667
55,NaN,NaN,0.000298233152872719
60,NaN,0.000278260939791222,NaN
75,0.00298526498079825,NaN,NaN
100,NaN,0.000246195804007923,0.000227739897771206
150,0.00242970296507689,NaN,NaN
200,NaN,0.000177958760410338,0.000211092769238183
250,0.00223128349859002,0.000188959127817862,0.000201021181858249
350,0.00208066270563638,0.000177823707113063,0.000187533657648752
450,0.00194586385551174,0.000158453559503267,0.000200993027214246
550,0.00176620318582893,NaN,NaN
700,0.00190972128984856,NaN,NaN
900,0.0019580958960025,NaN,NaN
1000,0.00166534536174115,NaN,NaN
