t,epo_level,pSTAT5_Obs,SOCS3nRNA1_Obs
7,2.5e-09,22.4185528456534,0.0147034604036019
7,2.5e-09,22.9442012732572,0.0141113734405926
7,2.5e-09,22.8034607927293,0.0142813539053368
7,7.905e-09,1.19190330419703,0.00271778100469203
7,1.25e-08,1.8784779953459,0.00581893349627836
7,1.25e-08,1.70660482645414,0.00529383603734997
7,1.25e-08,3.16813273773522,0.00513346038641293
7,1.75e-08,2.5601696260638,0.0054506970607234
7,1.75e-08,1.33412262120601,0.00327301398119187
7,1.75e-08,26.7717811242852,0.0199922064187751
7,2.5e-08,35.5697611289104,0.039328362843968
7,3.95e-08,28.1838171911633,0.020531408075106
7,3.95e-08,31.064369782903,0.0205832906527663
7,3.95e-08,28.3392004855998,0.0220719690626934
7,7.9e-08,4.95283881995306,0.00678756714595185
7,1.25e-07,-0.873430572581685,0.00316065929296398
7,1.25e-07,-1.67128246627309,0.00392714618060991
7,1.25e-07,1.11959578114246,0.00255377748872932
7,1.7675e-07,11.2884568788787,0.00785929460898704
7,2.5e-07,8.00320972244868,0.00761010298828624
7,2.5e-07,9.88833851873037,0.00755606925613024
7,2.5e-07,32.305331826299,0.0309125594025908
7,7.905e-07,33.0742505214265,0.0335393959107776
7,7.905e-07,32.6396885642451,0.0330970849990122
7,7.905e-07,2.65752851491763,0.00281238542203219
7,2.5e-06,15.7208433272562,0.0103375568528764
