t,EpoRJAK2_Obs,STAT5_Obs,pSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,5.82534769496223,41.4683603789547,-0.201349846769566,0.002160118253032,0.00499228669007903,0.00346809624536948,0.00243464772314696
6.5,3.83142053258582,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,8.73786245312728,NaN,NaN,0.0058700638686916,NaN
8.5,NaN,NaN,NaN,0.00355741089664491,NaN,NaN,NaN
9,NaN,36.414995621896,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,0.01526240931285,NaN,NaN
15,4.4244277622027,NaN,8.24832637801079,0.0132876070670619,NaN,0.0199865948220039,0.0103578082830879
20,4.13321219530001,33.9724937386428,7.08693167189245,NaN,NaN,0.0272943416840075,NaN
25,5.50303151249467,19.7517755309962,NaN,0.0258236779638452,0.0320488801938648,NaN,NaN
30,NaN,NaN,6.78410726486768,NaN,NaN,0.0415148088685457,0.0325755007038897
35,3.36766725642808,44.3739313996491,NaN,0.0324311428594539,0.0437970777430269,NaN,NaN
40,NaN,NaN,5.44994880300424,NaN,NaN,0.0392704514264039,NaN
45,3.93817553758091,24.1269270052654,2.63657091583191,NaN,NaN,NaN,0.0403535886768265
50,NaN,NaN,NaN,0.0330392719063875,0.040458048328633,0.0342567685750443,NaN
55,6.15244006703832,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,43.4290609839603,2.40360408601951,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,0.0270451011877216,0.0259352828292025,0.0405896909578435,0.0354905023062738
70,4.86655164817048,38.0863578277296,1.85105190399265,NaN,NaN,NaN,NaN
80,NaN,NaN,2.98962495067296,0.0148563320198808,0.022042648729575,0.0231327134608482,NaN
85,4.86433875280155,37.6171035056538,NaN,NaN,NaN,NaN,0.0210410190485655
95,NaN,NaN,NaN,NaN,NaN,0.0158227593702026,NaN
100,3.88838083454393,29.8570362928836,1.31624978040442,0.0120045543693951,0.0154443086338007,0.0192395126006911,0.0146577347671899
150,NaN,47.8541078546444,2.12209392902512,NaN,0.0127061111736568,NaN,0.00766420925965331
200,NaN,37.4067565867787,NaN,NaN,0.0142563605205048,NaN,0.00948819245961353
