t,CISHnRNA2_Obs,CISHnRNA3_Obs
0,0.000106856592632751,0.00010584956280252
5.5,NaN,8.98539931360527e-05
6.5,6.87277395681694e-05,NaN
10,NaN,8.08704951727536e-05
15,3.99633264601994e-05,5.05040210843014e-05
20,2.23343151482648e-05,NaN
25,NaN,3.22140452618766e-05
30,1.68413130949341e-05,1.97651911147048e-05
35,3.07411778967736e-05,NaN
40,NaN,1.48211452350202e-05
45,2.15590428411236e-05,3.42793384683396e-05
60,2.41425437991574e-05,3.43122545555532e-05
70,NaN,3.15553165152742e-05
75,2.532294290701e-05,NaN
85,NaN,2.82012212666727e-05
90,2.57261458009902e-05,NaN
